id,name,quality,troop_id,hp,atk,def,satk,sdef,spd,color,source_type,source_req
h_01,关羽,UR,t_cavalry_hubaoqi,1800,260,120,320,130,115,#FF2255,surrender,stage_1_15
h_02,张飞,SSR,t_machinery_toushiche,2200,180,170,190,100,90,#FFAA00,base,
h_03,诸葛亮,UR,t_tactician_shenhuo,1200,130,75,450,160,110,#FF2255,prestige,8000
h_04,刘备,SR,t_doctor_xinglin,1400,110,100,150,120,100,#AA33FF,prestige,2000
h_05,赵云,SSR,t_cavalry_baima,1500,230,100,280,100,120,#FFAA00,base,
h_06,马超,SSR,t_cavalry_hubaoqi,1500,210,100,240,95,118,#FFAA00,base,
h_07,黄忠,SR,t_archer_zhuri,1250,210,80,250,85,95,#AA33FF,surrender,stage_1_5
h_08,魏延,R,t_machinery_toushiche,1400,150,120,140,80,85,#3399FF,base,
h_09,姜维,SR,t_cavalry_baima,1350,180,100,220,100,100,#AA33FF,surrender,stage_1_10
h_10,庞统,SR,t_tactician_shenhuo,1050,100,65,340,130,90,#AA33FF,base,
h_11,廖化,R,t_infantry_huangjin,1300,125,110,110,80,80,#3399FF,base,
h_12,周仓,N,t_infantry_huangjin,1100,105,90,90,60,75,#888888,base,
h_13,关平,N,t_cavalry_baima,1050,115,80,100,60,85,#888888,base,
h_14,小卒A,N,t_infantry_huangjin,900,85,60,50,50,60,#888888,none,
h_15,小卒B,N,t_archer_zhuge,800,95,50,60,50,65,#888888,none,
h_16,华佗,SSR,t_doctor_xinglin,1600,140,110,320,160,105,#FFAA00,prestige,5000
h_17,张角,SR,t_tactician_shenhuo,1400,110,80,360,140,95,#AA33FF,surrender,stage_1_17
h_18,华雄,SR,t_cavalry_hubaoqi,1650,220,110,210,90,105,#AA33FF,surrender,stage_2_3
h_19,董卓,SSR,t_machinery_piliche,2300,200,180,220,120,85,#FFAA00,surrender,stage_2_4
h_20,严颜,R,t_archer_zhuge,1300,170,90,180,80,90,#3399FF,prestige,500
h_21,孙尚香,SR,t_archer_zhuri,1450,220,95,260,95,110,#AA33FF,prestige,1000
